Codigo_Unico,Categoria,Sub_Categoria,Senioridade,modelo,Categoria_Candidaturas,Habilidade,Mencionada
0d9eafa9-1f9c-4f13-b4c9-26edabb04a84,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,HÍBRIDO,Até 25 Candidaturas,SCRUM,1
efbefa78-888c-4fa3-bdd5-1fa55f7680ea,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
46592f2c-8b11-433d-b158-376fddbdb066,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
97231984-3393-4a5a-a6a4-175590b77a22,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
a72f9f42-00ff-4459-a479-e1394bdb0a5d,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
6a6ce666-d19c-4172-a170-d1eec10d051a,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
a041e0f3-f528-445c-bb67-355134e38de5,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
989abbb7-2338-402a-81d0-da3a7648a961,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,ASSISTENTE,REMOTO,0 Candidaturas,SCRUM,1
68401bbf-b18d-4e59-908a-1f04f9391cf5,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
f3189491-7677-4887-8a94-52793c62b953,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
c7b1b459-de51-4fc4-b695-30a10c3f1f50,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
aec3fcec-2d3c-475b-9046-cce26182a323,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
7bfd0e07-c062-4011-b06c-6433f0bcc194,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,PLENO-SÊNIOR,OUTRO,0 Candidaturas,SCRUM,1
